Table 1: 6-Year Profitability & Stability,,,,,,
Bank,Avg ROA,ROA Std Dev,Avg ROE,ROE Std Dev,,
JPM,0.011841695,0.003198894,0.141032474,0.035075286,,
BAC,0.056230486,0.01086653,0.673471653,0.120488891,,
PNC,0.010967965,0.001190765,0.112134357,0.011381737,,
TRUIST,0.008621338,0.003009266,0.091699739,0.032705824,,
Community Trust KY,0.014750506,0.001372366,0.14747556,0.012888366,,
Rockland Trust,0.010647263,0.002538543,0.080940272,0.016445307,,
,,,,,,
Table 2: Risk & Leverage Snapshot (2025),,,,,,
Bank,Loan/Asset (2025),Loan/Deposit (2025),Equity Multiplier (2025),,,
JPM,0.376916308,0.613684162,11.52487287,,,
BAC,0.622769754,0.691509434,11.65346535,,,
PNC,0.578360252,0.736936336,9.80161522,,,
TRUIST,0.593878313,0.77176813,10.80241935,,,
Community Trust KY,0.693864742,0.792868988,9.741320598,,,
Rockland Trust,0.80915578,0.934900844,9.880241525,,,
,,,,,,
TABLE 3 — Revenue Structure (2025),,,,,,
Bank,NII (2025),Noninterest Income (2025),Efficiency Ratio (2025),,,
JPM," $97,846,000.00 "," $66,240,000.00 ",0.524895482,,,
BAC," $238,000.00 "," $1,000.00 ",0.523012552,,,
PNC," $15,135,750.00 "," $7,780,792.00 ",0.57817964,,,
TRUIST," $14,812,000.00 "," $4,527,000.00 ",0.558974094,,,
Community Trust KY," $221,396.00 "," $44,791.00 ",0.484460173,,,
Rockland Trust," $575,302.00 "," $120,908.00 ",0.582562733,,,
