Bank,Year, Net Income , Total Assets , Equity , Loans , Deposits , NII , Noninterest Income , Noninterest Expense , ROA , ROE , Equity Multiplier , Loan/Asset , Loan/Deposit , Efficiency Ratio ,,,
JPM,2025," $49,644,000.00 "," $3,973,004,000.00 "," $344,733,000.00 "," $1,497,490,000.00 "," $2,440,164,000.00 "," $97,846,000.00 "," $66,240,000.00 "," $86,128,000.00 ",0.012495331,0.144007101,11.52487287,0.376916308,0.613684162,0.524895482,,,
JPM,2024," $52,502,000.00 "," $3,875,396,000.00 "," $328,451,000.00 "," $1,410,623,000.00 "," $2,379,642,000.00 "," $94,192,000.00 "," $63,459,000.00 "," $82,964,000.00 ",0.013547519,0.159847283,11.79900807,0.363994544,0.592787907,0.526251023,,,
JPM,2023," $49,552,000.00 "," $3,736,765,000.00 "," $299,218,000.00 "," $1,341,628,000.00 "," $2,308,845,000.00 "," $89,283,000.00 "," $60,724,000.00 "," $80,173,000.00 ",0.013260668,0.16560501,12.48843652,0.35903462,0.581081883,0.534461725,,,
JPM,2022," $37,676,000.00 "," $3,665,743,000.00 "," $297,936,000.00 "," $1,210,388,000.00 "," $2,334,905,000.00 "," $67,154,000.00 "," $58,832,000.00 "," $77,189,000.00 ",0.010277862,0.126456689,12.30379343,0.330188996,0.518388543,0.612679187,,,
JPM,2021," $48,334,000.00 "," $3,167,893,000.00 "," $280,360,000.00 "," $1,065,070,000.00 "," $2,373,667,000.00 "," $52,966,000.00 "," $59,682,000.00 "," $71,802,000.00 ",0.01525746,0.172399772,11.2993758,0.336207694,0.448702366,0.637401463,,,
JPM,2020," $21,032,000.00 "," $3,386,071,000.00 "," $270,060,000.00 "," $1,037,654,000.00 "," $2,312,125,000.00 "," $55,294,000.00 "," $61,104,000.00 "," $69,354,000.00 ",0.006211329,0.07787899,12.53821743,0.306447797,0.44878802,0.59583498,,,
BAC,2025," $84,000.00 "," $1,177,000.00 "," $101,000.00 "," $733,000.00 "," $1,060,000.00 "," $238,000.00 "," $1,000.00 "," $125,000.00 ",0.071367884,0.831683168,11.65346535,0.622769754,0.691509434,0.523012552,,,
BAC,2024," $69,000.00 "," $1,104,000.00 "," $92,000.00 "," $682,000.00 "," $1,002,000.00 "," $169,000.00 "," $(2,000.00)"," $75,000.00 ",0.0625,0.75,12,0.617753623,0.680638723,0.449101796,,,
BAC,2023," $63,000.00 "," $1,046,000.00 "," $87,000.00 "," $631,000.00 "," $946,000.00 "," $154,000.00 "," $(1,000.00)"," $71,000.00 ",0.060229446,0.724137931,12.02298851,0.603250478,0.667019027,0.464052288,,,
BAC,2022," $55,000.00 "," $1,012,000.00 "," $84,000.00 "," $604,000.00 "," $923,000.00 "," $140,000.00 "," $(3,000.00)"," $68,000.00 ",0.054347826,0.654761905,12.04761905,0.596837945,0.654387866,0.496350365,,,
BAC,2021," $47,000.00 "," $978,000.00 "," $81,000.00 "," $589,000.00 "," $905,000.00 "," $130,000.00 "," $(4,000.00)"," $65,000.00 ",0.04805726,0.580246914,12.07407407,0.602249489,0.650828729,0.515873016,,,
BAC,2020," $39,000.00 "," $954,000.00 "," $78,000.00 "," $575,000.00 "," $889,000.00 "," $122,000.00 "," $(6,000.00)"," $63,000.00 ",0.040880503,0.5,12.23076923,0.602725367,0.646794151,0.543103448,,,
PNC,2025," $7,234,397.00 "," $562,109,930.00 "," $57,348,704.00 "," $325,102,041.00 "," $441,153,496.00 "," $15,135,750.00 "," $7,780,792.00 "," $13,249,878.00 ",0.012870075,0.126147524,9.80161522,0.578360252,0.736936336,0.57817964,,,
PNC,2024," $6,200,272.00 "," $561,989,000.00 "," $55,934,000.00 "," $322,241,000.00 "," $440,970,000.00 "," $14,226,471.00 "," $7,778,298.00 "," $13,043,794.00 ",0.011032728,0.110849787,10.04735939,0.573393785,0.730754927,0.592771231,,,
PNC,2023," $5,739,000.00 "," $559,344,000.00 "," $54,733,000.00 "," $320,236,000.00 "," $438,321,000.00 "," $13,259,000.00 "," $7,184,000.00 "," $12,745,000.00 ",0.010260233,0.104854475,10.21950195,0.572520667,0.730596983,0.623440787,,,
PNC,2022," $6,476,000.00 "," $554,206,000.00 "," $52,618,000.00 "," $315,070,000.00 "," $436,004,000.00 "," $11,640,000.00 "," $8,060,000.00 "," $12,933,000.00 ",0.011685186,0.123075754,10.53263142,0.568507017,0.722630985,0.656497462,,,
PNC,2021," $5,674,000.00 "," $541,447,000.00 "," $50,487,000.00 "," $303,520,000.00 "," $430,128,000.00 "," $10,392,000.00 "," $8,006,000.00 "," $12,191,000.00 ",0.010479327,0.112385367,10.72448353,0.560571949,0.705650411,0.662626372,,,
PNC,2020," $4,420,000.00 "," $466,233,000.00 "," $46,286,000.00 "," $248,320,000.00 "," $383,933,000.00 "," $9,879,000.00 "," $7,920,000.00 "," $12,505,000.00 ",0.009480238,0.095493238,10.07287301,0.532609232,0.646779516,0.70256756,,,
TRUIST,2025," $5,537,000.00 "," $535,800,000.00 "," $49,600,000.00 "," $318,200,000.00 "," $412,300,000.00 "," $14,812,000.00 "," $4,527,000.00 "," $10,810,000.00 ",0.01033408,0.111633065,10.80241935,0.593878313,0.77176813,0.558974094,,,
TRUIST,2024," $5,043,000.00 "," $540,600,000.00 "," $49,200,000.00 "," $321,700,000.00 "," $417,900,000.00 "," $14,685,000.00 "," $4,295,000.00 "," $10,797,000.00 ",0.009328524,0.1025,10.98780488,0.595079541,0.769801388,0.56886196,,,
TRUIST,2023," $4,720,000.00 "," $555,400,000.00 "," $51,700,000.00 "," $330,900,000.00 "," $425,600,000.00 "," $15,530,000.00 "," $5,130,000.00 "," $11,980,000.00 ",0.00849838,0.091295938,10.74274662,0.59578682,0.777490602,0.579864472,,,
TRUIST,2022," $5,970,000.00 "," $563,900,000.00 "," $53,700,000.00 "," $338,100,000.00 "," $435,800,000.00 "," $16,430,000.00 "," $5,980,000.00 "," $12,940,000.00 ",0.010586984,0.111173184,10.5009311,0.599574393,0.775814594,0.577420794,,,
TRUIST,2021," $5,569,000.00 "," $541,200,000.00 "," $52,100,000.00 "," $309,400,000.00 "," $428,200,000.00 "," $12,371,000.00 "," $7,310,000.00 "," $13,790,000.00 ",0.010290096,0.106890595,10.38771593,0.571692535,0.722559552,0.700675779,,Formulas,
TRUIST,2020," $1,370,000.00 "," $509,300,000.00 "," $51,300,000.00 "," $296,800,000.00 "," $392,600,000.00 "," $12,640,000.00 "," $6,320,000.00 "," $14,210,000.00 ",0.002689967,0.026705653,9.927875244,0.582760652,0.755985736,0.749472574,, Net Income ,"=SUMIFS(RawData!F:F, RawData!A:A,A2, RawData!B:B,B2, RawData!E:E,""RIAD4340"")"
Community Trust KY,2025," $96,231.00 "," $6,084,536.00 "," $624,611.00 "," $4,221,845.00 "," $5,324,770.00 "," $221,396.00 "," $44,791.00 "," $128,957.00 ",0.015815668,0.15406549,9.741320598,0.693864742,0.792868988,0.484460173,, Total Assets ," =XLOOKUP(1,(RawData!$A:$A=A2)*(RawData!$B:$B=B2)*(RawData!$D:$D=""Total Assets""),RawData!$F:$F) "
Community Trust KY,2024," $91,884.00 "," $5,987,219.00 "," $596,802.00 "," $4,082,456.00 "," $5,216,093.00 "," $214,772.00 "," $43,266.00 "," $124,508.00 ",0.015346691,0.15396061,10.0321698,0.681861813,0.782665493,0.482518079,, Equity ,"=XLOOKUP(1,(RawData!$A:$A=A2)*(RawData!$B:$B=B2)*(RawData!$D:$D=""Total Equity Capital""),RawData!$F:$F)"
Community Trust KY,2023," $88,021.00 "," $5,742,390.00 "," $570,384.00 "," $3,884,772.00 "," $4,989,551.00 "," $198,654.00 "," $42,118.00 "," $120,442.00 ",0.015328287,0.154318845,10.06758605,0.676507865,0.77858148,0.500232585,, Loans ,"=XLOOKUP(1,(RawData!$A:$A=A2)*(RawData!$B:$B=B2)*(RawData!$D:$D=""Total Loans (Gross)""),RawData!$F:$F)"
Community Trust KY,2022," $84,215.00 "," $5,431,278.00 "," $541,603.00 "," $3,650,842.00 "," $4,723,615.00 "," $182,307.00 "," $40,985.00 "," $116,770.00 ",0.015505559,0.155492122,10.02815346,0.672188387,0.772891525,0.522947531,, Deposits ,"=SUMIFS(RawData!F:F, RawData!A:A,A2, RawData!B:B,B2, RawData!E:E,""RCON2200"")"
Community Trust KY,2021," $74,802.00 "," $5,201,643.00 "," $517,486.00 "," $3,492,715.00 "," $4,524,118.00 "," $170,944.00 "," $39,517.00 "," $112,084.00 ",0.014380456,0.144548838,10.05175599,0.671463805,0.772021198,0.532564228,, NII ,"=SUMIFS(RawData!F:F, RawData!A:A,A2, RawData!B:B,B2, RawData!E:E,""RIAD4074"")"
