Raw Dataset Extracted from Call Reports,,,,,,,,FFIEC Call Report Reference Guide,,,,,,
Bank,Year,Schedule,Line Item,Code,Value (000s),Source Page,,Category,Code / Term,Full Name,What It Represents,Why It Matters in Analysis,,
JPM,2025,RI,Net Income Attributable to Bank,RIAD4340,"49,644,000",RI p.10,,Schedule,RI,Report of Income,Income statement section of the call report,"Used to compute profitability (ROA, ROE, efficiency)",,
JPM,2025,RI,Net Interest Income,RIAD4074,"97,846,000",RI p.9,,Schedule,RC,Balance Sheet,Consolidated statement of assets & liabilities,Used to compute leverage and asset composition,,
JPM,2025,RI,Total Noninterest Income,RIAD4079,"66,240,000",RI p.10,,Schedule,RC-C,Loans and Lease Financing Receivables,Detailed breakdown of loan portfolio,Used to identify total gross loans,,
JPM,2025,RI,Total Noninterest Expense,RIAD4093,"86,128,000",RI p.10,,Schedule,RI-A,Changes in Bank Equity Capital,Reconciliation of retained earnings,Used to confirm net income flows to equity,,
JPM,2025,RI,Provision for Credit Losses,RIADJJ33,"13,995,000",RI p.9,,Code,RIAD4340,Net Income Attributable to Bank,Final net income after all expenses and taxes,Core profitability measure (numerator of ROA/ROE),,
JPM,2025,RC,Total Assets,RCFD2170,"3,973,004,000",RC p.17,,Code,RIAD4074,Net Interest Income,Interest income minus interest expense,Core earnings from lending activities,,
JPM,2025,RC,Total Loans (Gross),RCFD2122,"1,497,490,000",RC-C p.23,,Code,RIAD4079,Total Noninterest Income,"Fees, trading revenue, service income",Diversification of revenue sources,,
JPM,2025,RC,Allowance for Credit Losses,RCFD3123,"25,539,000",RC p.19,,Code,RIAD4093,Total Noninterest Expense,"Operating expenses (salary, admin, overhead)",Used in efficiency ratio,,
JPM,2025,RC,Total Deposits,RCON2200,"2,440,164,000",RC p.18,,Code,RIADJJ33,Provision for Credit Losses,Loan loss expense recorded in income statement,Reflects credit risk conditions,,
JPM,2025,RC,Total Equity Capital,RCFD3210,"344,733,000",RC p.20,,Code,RCFD2170,Total Assets,Total consolidated assets,Denominator of ROA and leverage ratios,,
